Age,MonthlyIncome,CreditScore,ExistingLoan,LoanAmount,LoanTerm,Dependents,EmploymentStatus,EmploymentYears,PaymentHistory,Eligible
51,147379,578,228208,853032,12,0,Business,2,Average,1
35,95388,508,458024,208964,12,0,Salaried,8,Average,0
28,105768,634,391342,905742,60,0,Salaried,19,Average,0
34,50428,587,279773,989305,36,1,Self-Employed,14,Poor,0
43,107021,551,128614,218767,12,2,Salaried,6,Good,1
60,133418,564,401461,996357,36,0,Self-Employed,3,Poor,0
41,147212,570,96950,709789,36,2,Salaried,19,Poor,1
36,41421,718,174942,709966,24,0,Business,16,Poor,1
38,16708,510,488850,447694,48,2,Business,3,Good,0
44,149702,664,64829,688668,60,3,Salaried,18,Poor,1
46,91021,375,245602,527032,36,3,Salaried,4,Good,1
45,59789,620,10588,745494,60,2,Self-Employed,15,Average,1
49,41086,732,393658,513179,24,0,Unemployed,2,Good,1
35,31859,408,367424,948212,12,1,Self-Employed,10,Average,0
21,22684,821,496195,206547,36,2,Salaried,14,Average,0
45,106088,346,470555,902609,48,4,Salaried,18,Good,1
27,147279,678,302865,727090,24,1,Salaried,20,Poor,1
29,61099,395,168217,202185,60,4,Salaried,13,Good,1
44,81093,402,272743,725371,12,2,Business,15,Average,0
21,63651,445,334738,105746,60,0,Business,5,Good,0
28,28893,326,475958,959507,48,4,Salaried,4,Poor,0
44,81418,829,208502,748213,36,2,Salaried,20,Good,1
31,140074,381,134011,921627,48,1,Salaried,16,Good,1
37,118065,727,252856,873250,60,0,Unemployed,15,Good,1
28,145351,778,284293,218393,60,4,Self-Employed,1,Average,1
55,53635,461,389760,333453,48,2,Self-Employed,10,Average,1
55,110071,701,197639,986192,48,0,Salaried,3,Good,1
53,93518,807,141280,340320,48,0,Self-Employed,5,Good,1
25,121233,337,197170,643167,12,3,Salaried,6,Good,1
59,118651,810,371178,641880,60,0,Salaried,16,Poor,1
48,87805,692,180564,396872,24,2,Self-Employed,7,Average,1
27,137813,793,20951,270084,12,1,Self-Employed,0,Good,1
29,94063,499,179992,976920,12,3,Salaried,14,Good,1
28,17454,554,46766,771782,12,2,Salaried,19,Good,0
32,35878,478,319158,845016,24,2,Salaried,11,Poor,0
54,83344,846,159423,698843,48,2,Salaried,14,Good,1
53,119946,688,477432,405446,60,4,Self-Employed,14,Average,1
43,51593,697,442602,958840,36,4,Unemployed,8,Good,1
44,51304,457,87122,593118,36,1,Salaried,15,Good,1
57,128613,303,271452,266897,60,2,Salaried,1,Good,1
55,33354,466,321396,826522,24,4,Salaried,14,Poor,0
60,37190,767,468361,913498,36,4,Self-Employed,14,Poor,0
42,21142,708,488247,840023,12,4,Salaried,6,Good,1
47,56862,711,83211,143878,36,1,Business,20,Good,1
55,140438,503,421280,175407,60,1,Salaried,12,Good,1
21,63456,493,447095,691157,12,2,Self-Employed,16,Average,1
55,115167,534,126534,307716,36,3,Business,10,Average,1
57,97035,449,8720,857827,60,2,Unemployed,9,Good,1
34,23016,458,388348,66738,24,4,Unemployed,0,Good,0
23,17384,578,436156,183703,60,4,Business,13,Average,0
21,117239,703,79993,723265,24,0,Unemployed,4,Average,1
25,126431,610,461691,593344,12,2,Salaried,7,Good,0
46,95018,367,309257,815034,60,4,Salaried,0,Average,0
34,55510,762,311070,560241,48,4,Salaried,6,Average,1
59,36826,387,431419,433800,48,3,Business,1,Good,0
47,83026,516,219973,689604,48,0,Unemployed,6,Good,1
29,136668,300,398608,740807,48,2,Salaried,6,Good,1
35,39045,434,25905,628706,48,1,Self-Employed,8,Average,1
35,105102,650,204580,873622,24,2,Business,3,Average,1
46,66919,439,50385,76014,60,2,Unemployed,6,Poor,0
33,114441,432,30653,778359,12,3,Self-Employed,19,Good,1
52,133325,477,91865,813277,48,2,Unemployed,17,Average,0
59,34337,657,477936,231350,48,3,Salaried,12,Good,1
52,92949,679,125813,961995,12,3,Salaried,10,Good,1
24,15276,749,145871,838212,12,4,Self-Employed,8,Average,1
50,66151,762,191175,534859,48,1,Salaried,13,Poor,1
57,67887,407,248535,764618,24,3,Salaried,7,Good,1
43,96442,421,15052,540339,12,0,Business,20,Poor,0
59,64847,316,137116,92192,60,0,Business,13,Good,1
35,73653,495,150943,941307,60,1,Business,20,Good,1
49,71622,626,220375,411273,24,3,Salaried,16,Good,1
56,42810,617,413450,93923,36,1,Self-Employed,13,Average,0
33,92842,778,21381,663484,24,4,Salaried,4,Good,1
52,137225,551,148346,576683,48,0,Salaried,9,Good,1
27,25503,802,243234,414593,36,2,Self-Employed,5,Good,1
42,99761,418,481056,433891,48,0,Salaried,9,Average,0
48,141439,797,256017,802744,60,3,Salaried,10,Good,1
22,26590,785,345252,458995,12,1,Business,5,Good,1
26,81624,344,235020,645316,48,0,Salaried,9,Poor,1
48,135356,613,49892,997226,60,2,Unemployed,13,Average,1
48,57727,478,181593,450327,24,2,Self-Employed,19,Good,1
40,93471,717,353645,816751,48,1,Unemployed,2,Good,1
50,23068,377,214992,715344,60,1,Salaried,6,Average,0
31,131923,625,345535,929608,12,0,Self-Employed,1,Good,0
48,26390,656,280064,777688,48,3,Salaried,6,Average,0
45,121752,715,278846,305315,60,4,Business,16,Good,1
59,109754,814,256216,339068,48,2,Salaried,12,Good,1
53,90969,513,496673,495919,12,1,Salaried,20,Good,1
21,92064,373,264038,344721,48,4,Business,8,Poor,0
47,36281,808,293129,188783,48,4,Salaried,12,Poor,1
33,69189,631,159359,659836,60,4,Salaried,14,Poor,1
23,63511,392,258771,307288,36,3,Salaried,12,Good,1
59,137115,818,125702,543085,48,1,Self-Employed,16,Average,1
26,23605,568,73527,545187,36,2,Salaried,7,Good,0
28,115318,675,146511,699381,24,1,Salaried,8,Average,1
47,147453,303,390820,285835,48,0,Salaried,8,Good,1
29,34810,437,225692,971600,36,2,Self-Employed,7,Average,1
57,56869,530,304379,902987,24,1,Business,15,Poor,0
53,47955,828,158731,401992,60,2,Salaried,19,Good,1
44,76388,351,287120,256084,48,0,Salaried,6,Good,0
35,25207,624,235311,844686,60,2,Salaried,16,Good,0
52,37031,576,344787,437554,24,4,Salaried,6,Good,1
52,95807,835,198937,803315,60,3,Salaried,5,Good,1
44,86312,785,369775,520336,60,0,Salaried,4,Average,1
32,74766,815,199378,973469,12,2,Self-Employed,16,Good,1
59,104833,451,56697,258072,24,0,Unemployed,7,Average,0
22,126041,782,70382,298029,60,4,Salaried,0,Good,1
23,131185,558,278795,259047,36,3,Self-Employed,15,Good,1
57,25350,623,180116,415169,24,0,Self-Employed,16,Good,1
37,115859,467,14633,180509,12,4,Self-Employed,2,Good,1
22,83487,609,79164,812072,48,4,Business,12,Average,0
22,138853,778,262713,345107,60,4,Salaried,7,Good,1
48,68117,355,453116,577561,36,2,Salaried,15,Average,0
43,116084,772,329653,589618,12,1,Self-Employed,6,Good,1
57,38782,595,123425,202566,24,0,Salaried,20,Poor,1
52,43454,760,363270,650710,60,1,Salaried,14,Average,1
53,82904,623,250220,958521,12,4,Salaried,1,Good,0
21,144936,440,389666,53212,12,1,Salaried,1,Good,1
39,137258,561,295182,282131,36,4,Self-Employed,9,Good,1
22,126668,719,180160,526657,48,4,Salaried,4,Average,1
46,139184,540,204249,661882,48,3,Salaried,3,Good,1
52,31566,654,205538,182152,48,3,Salaried,14,Average,1
26,53333,479,465432,344819,24,1,Salaried,12,Good,1
52,136929,365,197865,72007,12,0,Unemployed,16,Good,1
24,104571,647,467002,688093,24,1,Salaried,20,Good,1
31,135263,470,300282,394785,12,0,Unemployed,0,Good,1
37,147661,773,456526,670103,36,1,Self-Employed,17,Average,1
58,40235,833,421973,883247,36,2,Business,14,Good,1
44,15159,666,201466,919914,24,2,Salaried,13,Poor,1
25,119859,406,472243,837071,24,0,Salaried,8,Average,0
54,122507,738,484046,375737,36,3,Business,11,Good,1
26,29743,526,187223,562164,60,0,Business,4,Good,0
42,61101,743,372884,128038,48,1,Salaried,1,Good,1
31,136534,741,111174,406043,48,4,Salaried,6,Average,1
36,99227,695,311416,840168,36,2,Salaried,20,Good,1
53,86126,383,137980,827794,48,4,Unemployed,8,Good,1
29,71071,850,404060,66473,60,2,Salaried,17,Good,1
26,89763,312,313599,703059,60,1,Self-Employed,3,Good,1
36,61154,792,496381,175801,12,2,Business,1,Poor,1
49,22016,567,68447,944030,24,0,Business,0,Poor,0
23,104678,824,205599,660911,48,4,Self-Employed,11,Good,1
40,127056,419,339252,558252,60,4,Salaried,12,Average,0
56,69238,652,436282,275097,24,1,Unemployed,13,Poor,0
39,73608,356,226301,348964,24,4,Self-Employed,4,Good,1
46,104081,339,433220,265933,12,1,Business,2,Average,1
23,65961,635,300477,369733,24,3,Salaried,3,Good,1
39,41917,472,383363,771167,24,0,Self-Employed,16,Average,1
40,42990,846,345173,330558,36,2,Salaried,18,Average,1
52,77551,558,301841,439522,12,2,Salaried,10,Poor,0
27,95811,816,279778,74220,12,2,Business,7,Good,1
53,70103,822,387664,634819,48,3,Self-Employed,11,Average,1
60,121122,416,286705,422146,24,0,Self-Employed,17,Good,1
59,34008,483,411249,557409,48,4,Salaried,17,Good,0
38,47402,415,466103,747785,60,4,Self-Employed,8,Poor,0
60,128550,461,55063,59387,24,0,Salaried,4,Average,0
21,106218,842,288065,295752,60,0,Self-Employed,20,Good,1
31,148296,536,19340,651103,36,2,Salaried,16,Average,0
48,135779,365,62781,601872,24,4,Business,12,Good,1
45,144714,369,277045,619071,48,0,Business,5,Good,1
43,47441,746,10638,745169,48,4,Salaried,13,Average,1
51,77368,715,431812,759687,24,0,Salaried,14,Good,1
50,107122,831,217986,698782,48,1,Self-Employed,13,Good,1
55,59760,740,306468,690102,24,2,Self-Employed,3,Average,1
27,38478,763,350500,300139,12,0,Business,17,Good,1
36,142881,695,221668,967184,48,3,Self-Employed,0,Good,1
46,86854,850,294786,550228,24,0,Salaried,11,Good,1
22,109230,694,25378,716217,24,1,Salaried,8,Poor,1
21,100716,625,313011,747621,48,3,Salaried,9,Poor,0
32,113538,390,335830,910020,12,3,Salaried,20,Good,0
25,30372,369,305019,984499,48,0,Self-Employed,17,Good,1
57,44796,465,118171,296509,24,1,Salaried,16,Average,0
52,113826,513,482811,63580,12,3,Unemployed,18,Average,1
29,135592,634,362205,592528,60,2,Business,3,Good,0
55,108635,668,214801,828639,36,2,Business,15,Good,1
39,126022,348,64377,395590,48,4,Unemployed,6,Poor,0
36,69040,351,260339,518968,24,4,Salaried,8,Good,1
23,90357,588,54691,940965,12,1,Business,7,Good,1
40,93356,538,486553,828559,12,3,Salaried,6,Average,0
44,31211,432,457519,533663,60,2,Salaried,9,Good,1
53,120426,465,454055,478082,48,2,Business,7,Good,1
44,20842,673,311207,655262,12,1,Salaried,16,Poor,0
31,81852,672,91782,647689,60,3,Unemployed,11,Good,1
28,140737,777,259896,263165,24,1,Self-Employed,13,Good,1
56,60968,778,78343,455427,60,0,Business,11,Good,1
58,32508,599,345215,502201,48,2,Salaried,1,Poor,0
60,69575,381,398708,214340,60,1,Self-Employed,11,Average,0
40,81914,386,121399,840078,12,1,Salaried,13,Good,1
55,82055,524,31357,760731,12,0,Business,6,Average,1
45,102697,315,465054,822411,36,4,Salaried,12,Good,1
55,121239,657,294458,354960,60,2,Self-Employed,20,Good,1
45,138106,462,441913,139460,24,1,Salaried,3,Average,0
49,20355,813,70283,356256,48,2,Salaried,0,Good,1
38,69120,649,59567,101048,36,4,Salaried,16,Poor,0
38,53342,763,309150,780806,60,1,Salaried,2,Average,1
22,17257,674,453227,182850,24,0,Business,16,Good,1
55,42364,391,237778,882184,36,2,Salaried,7,Average,0
36,126715,480,141758,528193,12,0,Salaried,2,Good,1
56,41654,600,430665,907158,48,4,Self-Employed,9,Average,0
53,96423,488,61606,786200,60,4,Salaried,1,Good,1
24,44320,613,281035,994793,24,2,Salaried,3,Good,1
53,35808,792,445331,356932,12,4,Business,13,Average,1
34,67389,427,101732,316891,36,3,Salaried,10,Average,1
41,133581,818,191791,574333,48,2,Salaried,13,Good,1
40,142927,725,488680,582046,36,3,Salaried,12,Good,1
28,49773,486,466246,829685,36,4,Salaried,3,Good,1
27,91396,849,429939,961508,24,2,Self-Employed,1,Good,1
23,122692,752,292021,728797,12,3,Salaried,1,Good,1
37,72505,770,249465,724945,60,4,Business,10,Average,1
53,100896,523,224589,190926,24,1,Salaried,4,Good,1
32,33135,453,14026,233148,48,1,Salaried,8,Poor,1
42,105887,650,282566,893382,36,0,Salaried,19,Good,1
42,137118,446,402460,722709,48,1,Self-Employed,20,Poor,1
50,62377,648,295625,801588,24,3,Unemployed,16,Good,1
58,77491,481,351324,726708,24,1,Self-Employed,11,Average,0
58,73283,478,109384,215368,60,2,Unemployed,17,Good,1
28,31923,338,252771,544496,36,2,Salaried,2,Average,1
47,62591,302,58031,69455,24,2,Salaried,4,Good,1
47,77261,363,401737,784184,48,1,Salaried,20,Good,1
54,69336,328,394962,515139,60,1,Salaried,19,Good,1
41,89083,671,345271,281897,48,0,Salaried,13,Good,1
50,75948,822,354398,482509,36,4,Salaried,15,Average,1
53,41672,396,68232,542646,60,0,Salaried,18,Good,1
48,19213,741,143084,662840,60,3,Salaried,8,Average,0
53,77507,502,342368,882548,60,2,Salaried,16,Good,1
25,72134,710,416673,432605,12,1,Salaried,6,Good,1
39,148172,320,463788,614772,60,4,Business,9,Average,0
24,43172,850,236503,997719,48,4,Salaried,3,Average,1
55,35132,401,292104,393782,48,1,Business,9,Good,0
37,33199,345,495238,708764,36,0,Self-Employed,2,Average,0
48,51609,365,87695,218332,24,4,Salaried,8,Average,0
50,46881,463,130066,150647,24,0,Salaried,12,Poor,1
49,39472,410,138982,639930,12,1,Salaried,0,Good,0
26,69131,637,264837,786091,60,0,Self-Employed,14,Average,1
55,27828,422,115313,882441,12,2,Salaried,14,Good,1
57,111664,746,409074,178824,36,1,Salaried,10,Average,1
44,147473,590,28810,823202,36,1,Salaried,9,Good,1
49,30193,711,20092,866037,24,4,Business,6,Average,0
51,117518,580,481995,685167,36,4,Salaried,0,Average,0
55,34611,342,441916,695115,60,4,Self-Employed,6,Good,1
53,91240,785,58105,317724,48,2,Salaried,4,Good,1
41,17745,350,161577,951334,36,2,Business,15,Average,0
52,70243,509,204300,317544,12,3,Self-Employed,7,Good,1
43,18866,425,290699,745003,60,1,Salaried,1,Good,0
53,143681,791,71934,801545,36,4,Unemployed,7,Good,1
23,86354,808,72788,932464,36,1,Business,13,Average,1
38,66374,557,339401,177319,60,0,Salaried,3,Average,0
45,129397,487,280083,562193,36,2,Salaried,14,Average,0
51,139577,529,405041,529389,48,3,Business,6,Good,1
23,96029,488,484003,156960,24,0,Business,19,Good,1
60,108574,714,495707,89015,60,1,Self-Employed,7,Good,1
44,45431,309,155223,383857,12,2,Self-Employed,10,Poor,0
52,44336,413,128068,778165,36,4,Self-Employed,1,Good,1
42,55992,375,36,982478,24,0,Salaried,8,Good,1
43,70350,801,356092,195109,12,2,Self-Employed,5,Average,1
22,84561,384,345851,527508,12,1,Salaried,0,Poor,1
47,66955,348,39051,836351,48,1,Unemployed,2,Good,0
22,76240,794,491513,983671,24,0,Business,9,Good,1
46,61607,686,80738,138754,60,0,Self-Employed,4,Good,1
37,67870,688,335740,271775,24,0,Salaried,11,Average,1
60,79110,517,60071,355292,24,3,Salaried,0,Good,1
53,131895,645,130613,777513,12,4,Salaried,8,Average,0
29,19426,529,73601,726894,48,2,Self-Employed,20,Good,0
59,42606,554,29873,796355,48,1,Self-Employed,12,Average,1
49,43151,535,167720,959222,24,1,Salaried,18,Good,1
46,26308,325,71468,922510,24,4,Self-Employed,6,Good,0
55,105306,560,288614,106879,36,0,Business,15,Average,0
45,121984,570,196201,169894,12,0,Salaried,7,Average,1
44,17204,422,8328,640127,60,1,Salaried,18,Average,0
33,107769,556,137405,79756,60,4,Business,6,Average,1
27,102265,720,251519,718043,48,1,Self-Employed,3,Good,1
56,46131,558,121173,230557,12,0,Self-Employed,9,Good,1
40,67428,346,46638,279303,48,2,Self-Employed,0,Good,1
21,48870,824,273412,454241,60,0,Unemployed,16,Poor,1
28,118547,507,201675,724075,24,2,Salaried,20,Good,1
36,64067,610,113920,541599,12,3,Salaried,12,Good,1
34,127217,448,372523,545283,12,4,Salaried,18,Good,1
32,113934,737,410261,667231,36,3,Salaried,12,Poor,1
43,89707,454,171813,792476,24,0,Salaried,8,Average,0
35,76215,389,481522,198188,24,4,Salaried,4,Poor,0
48,64429,657,435986,611032,48,0,Unemployed,0,Good,1
54,97152,473,7887,174697,12,4,Unemployed,1,Average,0
22,123048,516,491934,530795,48,4,Salaried,10,Good,0
52,92240,755,228978,690360,24,0,Self-Employed,3,Good,1
43,128688,498,498370,445340,36,0,Self-Employed,8,Good,1
42,61473,785,24918,286028,12,4,Business,4,Good,1
45,111762,832,297641,743411,24,4,Self-Employed,4,Average,1
42,121956,499,355706,57176,36,0,Salaried,7,Poor,0
42,133452,670,192081,927742,60,0,Business,1,Good,1
26,141311,747,274073,826653,24,1,Business,6,Poor,1
35,22006,547,102201,508034,60,1,Self-Employed,16,Good,0
57,89218,563,454978,563611,48,1,Unemployed,10,Good,1
53,47430,357,493689,199748,60,3,Unemployed,14,Good,0
28,38091,601,210171,95177,24,4,Self-Employed,2,Good,1
25,38989,330,378710,533512,60,2,Self-Employed,12,Good,1
59,90451,797,290690,160623,12,3,Unemployed,17,Average,1
24,33990,548,209496,575285,24,4,Salaried,19,Average,0
26,105270,570,168410,502546,36,2,Salaried,19,Average,0
52,95360,693,427499,546184,60,1,Salaried,2,Good,1
50,51081,801,82494,694467,12,2,Business,1,Average,1
55,123272,383,471386,297439,48,0,Business,4,Average,1
60,31241,664,215859,694691,48,0,Salaried,19,Poor,1
36,139932,848,308710,978735,60,4,Unemployed,4,Good,1
33,20939,641,347608,145287,48,3,Business,12,Poor,0
50,128000,706,233853,169574,36,1,Business,7,Average,1
39,50063,724,128279,830751,24,4,Salaried,15,Average,1
37,62118,392,81991,171509,12,1,Self-Employed,17,Good,1
39,99703,711,354824,397591,60,0,Self-Employed,15,Good,1
48,143557,731,290157,945954,48,3,Self-Employed,0,Good,1
46,42076,458,52132,499181,24,3,Self-Employed,7,Good,1
57,59605,313,255069,393288,36,0,Business,20,Good,1
46,99565,672,480628,822793,48,2,Salaried,1,Poor,1
43,54121,524,485714,242589,48,3,Business,4,Good,1
29,46433,804,159156,929125,12,2,Salaried,14,Good,1
32,58309,372,369999,406459,36,1,Salaried,13,Good,1
21,82468,548,152215,538720,36,3,Salaried,2,Good,1
21,82293,810,91627,863819,60,0,Salaried,6,Good,1
54,111258,515,122772,54090,12,2,Salaried,3,Good,1
52,53405,840,407395,957278,60,1,Business,10,Good,1
45,58527,519,229415,468161,12,1,Self-Employed,11,Average,0
60,92227,520,451942,876671,36,3,Salaried,14,Good,1
21,146564,688,141294,53743,12,3,Self-Employed,5,Poor,1
36,108344,341,453181,80924,12,4,Salaried,0,Poor,0
59,62153,582,259013,191268,12,4,Salaried,17,Good,1
25,123042,357,326212,966592,24,3,Self-Employed,13,Average,0
42,69110,836,417165,928247,24,4,Self-Employed,6,Good,1
49,43328,372,16116,679600,36,0,Business,9,Good,1
23,127911,428,182124,381004,12,0,Salaried,8,Good,1
32,27867,725,51369,790537,36,4,Business,1,Good,0
46,74234,424,179889,798378,24,3,Self-Employed,7,Poor,0
36,40851,366,365244,279602,12,0,Unemployed,0,Good,0
57,46279,305,233982,392543,60,1,Salaried,19,Good,1
42,88402,613,214275,885227,24,3,Self-Employed,1,Good,1
49,30449,625,205383,887985,24,2,Self-Employed,6,Good,1
34,91221,805,291799,558928,24,2,Unemployed,15,Poor,1
48,104080,381,188874,153976,12,3,Salaried,3,Good,1
25,20451,301,47632,205183,48,4,Self-Employed,20,Good,1
50,102178,503,407409,687854,60,0,Salaried,16,Good,1
25,78761,703,211284,307443,60,0,Self-Employed,3,Good,1
32,53870,402,161848,694256,36,3,Salaried,2,Good,1
36,111566,835,436441,111600,12,1,Salaried,8,Good,1
46,138749,667,191082,624310,24,4,Self-Employed,14,Good,1
46,138765,511,213807,708559,48,1,Salaried,19,Average,0
41,139881,508,196523,887329,12,3,Salaried,2,Good,1
59,143389,416,179884,874470,12,3,Salaried,11,Average,0
56,40372,777,473818,173323,48,1,Salaried,14,Poor,1
53,18642,404,281039,236110,24,2,Unemployed,19,Poor,0
50,49064,794,458998,694566,12,3,Self-Employed,7,Good,1
57,29122,345,414425,947486,60,4,Business,11,Poor,0
43,83431,630,235892,320041,60,1,Salaried,20,Average,0
30,70745,515,213408,638829,48,2,Unemployed,12,Average,0
25,65081,791,242718,156968,24,1,Salaried,14,Good,1
56,91253,748,192879,589180,48,2,Self-Employed,10,Good,1
54,51191,835,23086,975775,12,2,Salaried,16,Poor,1
51,25211,810,85637,74815,60,4,Business,20,Good,1
30,126086,757,475243,882044,36,3,Self-Employed,11,Good,1
39,116971,846,158279,476573,48,2,Salaried,19,Good,1
52,108783,835,369478,518304,36,3,Salaried,17,Poor,1
21,140681,839,151969,852699,36,4,Self-Employed,15,Good,1
25,102893,783,63083,854700,60,3,Salaried,2,Poor,1
24,92960,315,95028,688751,48,0,Salaried,8,Good,1
36,99388,542,329101,981767,36,2,Salaried,6,Good,0
44,37601,506,97551,514151,12,4,Self-Employed,18,Good,1
36,34710,570,340650,931779,24,1,Business,4,Average,0
22,123714,414,138355,240732,24,4,Salaried,18,Good,1
48,143727,598,94024,246599,60,2,Salaried,9,Good,1
52,78227,782,343625,244451,48,4,Business,19,Good,1
47,99289,696,262399,406686,48,1,Self-Employed,11,Good,1
40,20722,693,207627,746631,24,0,Salaried,7,Average,0
44,96050,374,15487,378756,12,2,Business,2,Good,1
32,98596,781,19346,188307,24,2,Salaried,18,Good,1
55,81732,402,297194,138757,24,4,Salaried,10,Good,1
53,83323,596,270888,459633,48,3,Unemployed,7,Good,0
53,38816,477,417972,934507,36,3,Unemployed,12,Poor,0
57,55695,514,61596,346753,12,1,Salaried,9,Good,1
32,70841,614,214469,939217,48,0,Salaried,17,Good,1
23,143498,338,418362,304200,24,0,Salaried,11,Good,0
21,122096,558,381784,597933,36,4,Salaried,6,Average,0
53,107764,306,317176,506089,12,4,Salaried,10,Good,1
60,100744,348,304831,769918,60,3,Salaried,9,Good,1
30,43482,837,177175,374377,12,0,Unemployed,2,Average,1
49,24171,460,153048,423587,12,0,Business,6,Average,0
33,115755,475,325007,204473,24,0,Self-Employed,3,Good,1
32,123125,301,393807,844203,24,1,Self-Employed,7,Good,1
51,145722,754,6277,517667,60,1,Salaried,7,Good,1
22,121082,575,324004,522650,60,4,Salaried,5,Average,1
55,18696,797,133332,510665,60,3,Salaried,12,Poor,1
43,141310,327,240515,414745,48,2,Business,11,Good,1
37,34149,632,260577,535820,48,3,Salaried,2,Average,1
46,145064,300,196955,445158,24,1,Business,5,Good,1
28,68521,487,286885,725748,24,1,Self-Employed,18,Poor,0
49,60740,355,381864,961656,60,4,Salaried,10,Average,0
46,121611,846,299355,657539,48,2,Salaried,3,Average,1
30,81641,411,240464,631330,36,0,Self-Employed,14,Good,1
46,78811,609,258445,890172,48,2,Unemployed,1,Good,1
54,78232,335,434758,246945,24,2,Business,14,Average,0
27,30417,738,269013,621312,48,2,Salaried,16,Good,1
24,127492,624,486834,728810,24,4,Self-Employed,1,Good,0
31,45099,606,349760,631253,60,1,Salaried,6,Good,1
49,133474,833,457948,322201,60,0,Unemployed,15,Good,1
56,24256,408,94515,798609,60,2,Business,4,Average,0
45,49681,671,150494,845415,36,0,Self-Employed,15,Good,1
41,106328,656,166685,442613,36,2,Salaried,18,Good,1
56,58361,480,188088,594283,24,1,Self-Employed,1,Good,0
30,49540,655,60110,164587,12,0,Salaried,14,Average,1
57,99700,367,219601,283076,36,3,Salaried,3,Poor,0
29,93532,591,208994,796988,24,1,Salaried,1,Good,0
44,142626,480,296177,520897,48,0,Unemployed,9,Good,1
55,148943,765,307357,88886,60,2,Self-Employed,4,Good,1
